Number,Name,Code,Emoji,Hall of Fame,Comment
№,CLDR Short Name,Code,Browser,,Comment
1,grinning face,U+1F600,😀,,
2,grinning face with big eyes,U+1F603,😃,,
3,grinning face with smiling eyes,U+1F604,😄,,
4,beaming face with smiling eyes,U+1F601,😁,,
5,grinning squinting face,U+1F606,😆,,
6,grinning face with sweat,U+1F605,😅,,
7,rolling on the floor laughing,U+1F923,🤣,*,
8,face with tears of joy,U+1F602,😂,,
9,slightly smiling face,U+1F642,🙂,,
10,upside-down face,U+1F643,🙃,,
11,melting face,U+1FAE0,🫠,,
12,winking face,U+1F609,😉,,
13,smiling face with smiling eyes,U+1F60A,😊,,
14,smiling face with halo,U+1F607,😇,,
face-affection,,,,,
№,CLDR Short Name,Code,Browser,,
15,smiling face with hearts,U+1F970,🥰,,
16,smiling face with heart-eyes,U+1F60D,😍,,
17,star-struck,U+1F929,🤩,,
18,face blowing a kiss,U+1F618,😘,,
19,kissing face,U+1F617,😗,,
20,smiling face,U+263A,☺,,
21,kissing face with closed eyes,U+1F61A,😚,,
22,kissing face with smiling eyes,U+1F619,😙,,
23,smiling face with tear,U+1F972,🥲,,
face-tongue,,,,,
№,CLDR Short Name,Code,Browser,,
24,face savoring food,U+1F60B,😋,,
25,face with tongue,U+1F61B,😛,,
26,winking face with tongue,U+1F61C,😜,,
27,zany face,U+1F92A,🤪,,
28,squinting face with tongue,U+1F61D,😝,,
29,money-mouth face,U+1F911,🤑,,
face-hand,,,,,
№,CLDR Short Name,Code,Browser,,
30,smiling face with open hands,U+1F917,🤗,,
31,face with hand over mouth,U+1F92D,🤭,,
32,face with open eyes and hand over mouth,U+1FAE2,🫢,,
33,face with peeking eye,U+1FAE3,🫣,,
34,shushing face,U+1F92B,🤫,,
35,thinking face,U+1F914,🤔,,
36,saluting face,U+1FAE1,🫡,,
face-neutral-skeptical,,,,,
№,CLDR Short Name,Code,Browser,,
37,zipper-mouth face,U+1F910,🤐,,
38,face with raised eyebrow,U+1F928,🤨,,
39,neutral face,U+1F610,😐,,
40,expressionless face,U+1F611,😑,,
41,face without mouth,U+1F636,😶,,
42,dotted line face,U+1FAE5,🫥,,
43,face in clouds,U+1F636 U+200D U+1F32B U+FE0F,😶‍🌫️,,
44,smirking face,U+1F60F,😏,,
45,unamused face,U+1F612,😒,,
46,face with rolling eyes,U+1F644,🙄,,
47,grimacing face,U+1F62C,😬,,
48,face exhaling,U+1F62E U+200D U+1F4A8,😮‍💨,,
49,lying face,U+1F925,🤥,,
50,shaking face,U+1FAE8,🫨,,
51,head shaking horizontally,U+1F642 U+200D U+2194 U+FE0F,🙂‍↔️,,
52,head shaking vertically,U+1F642 U+200D U+2195 U+FE0F,🙂‍↕️,,
face-sleepy,,,,,
№,CLDR Short Name,Code,Browser,,
53,relieved face,U+1F60C,😌,,
54,pensive face,U+1F614,😔,,
55,sleepy face,U+1F62A,😪,,
56,drooling face,U+1F924,🤤,,
57,sleeping face,U+1F634,😴,,
58,face with bags under eyes,U+1FAE9,🫩,,
face-unwell,,,,,
№,CLDR Short Name,Code,Browser,,
59,face with medical mask,U+1F637,😷,,
60,face with thermometer,U+1F912,🤒,,
61,face with head-bandage,U+1F915,🤕,,
62,nauseated face,U+1F922,🤢,,
63,face vomiting,U+1F92E,🤮,,
64,sneezing face,U+1F927,🤧,,
65,hot face,U+1F975,🥵,,
66,cold face,U+1F976,🥶,,
67,woozy face,U+1F974,🥴,,
68,face with crossed-out eyes,U+1F635,😵,,
69,face with spiral eyes,U+1F635 U+200D U+1F4AB,😵‍💫,,
70,exploding head,U+1F92F,🤯,,
face-hat,,,,,
№,CLDR Short Name,Code,Browser,,
71,cowboy hat face,U+1F920,🤠,,
72,partying face,U+1F973,🥳,,
73,disguised face,U+1F978,🥸,,
face-glasses,,,,,
№,CLDR Short Name,Code,Browser,,
74,smiling face with sunglasses,U+1F60E,😎,,
75,nerd face,U+1F913,🤓,,
76,face with monocle,U+1F9D0,🧐,,
face-concerned,,,,,
№,CLDR Short Name,Code,Browser,,
77,confused face,U+1F615,😕,,
78,face with diagonal mouth,U+1FAE4,🫤,,
79,worried face,U+1F61F,😟,,
80,slightly frowning face,U+1F641,🙁,,
81,frowning face,U+2639,☹,,
82,face with open mouth,U+1F62E,😮,,
83,hushed face,U+1F62F,😯,,
84,astonished face,U+1F632,😲,,
85,flushed face,U+1F633,😳,,
86,⊛ distorted face,U+1FAEA,🫪,,
87,pleading face,U+1F97A,🥺,,
88,face holding back tears,U+1F979,🥹,,
89,frowning face with open mouth,U+1F626,😦,,
90,anguished face,U+1F627,😧,,
91,fearful face,U+1F628,😨,,
92,anxious face with sweat,U+1F630,😰,,
93,sad but relieved face,U+1F625,😥,,
94,crying face,U+1F622,😢,,
95,loudly crying face,U+1F62D,😭,,
96,face screaming in fear,U+1F631,😱,,
№,CLDR Short Name,Code,Browser,,
97,confounded face,U+1F616,😖,,
98,persevering face,U+1F623,😣,,
99,disappointed face,U+1F61E,😞,,
100,downcast face with sweat,U+1F613,😓,,
101,weary face,U+1F629,😩,,
102,tired face,U+1F62B,😫,,
103,yawning face,U+1F971,🥱,,
face-negative,,,,,
№,CLDR Short Name,Code,Browser,,
104,face with steam from nose,U+1F624,😤,,
105,enraged face,U+1F621,😡,,
106,angry face,U+1F620,😠,,
107,face with symbols on mouth,U+1F92C,🤬,,
108,smiling face with horns,U+1F608,😈,,
109,angry face with horns,U+1F47F,👿,,
110,skull,U+1F480,💀,,
111,skull and crossbones,U+2620,☠,,
face-costume,,,,,
№,CLDR Short Name,Code,Browser,,
112,pile of poo,U+1F4A9,💩,,
113,clown face,U+1F921,🤡,,
114,ogre,U+1F479,👹,,
115,goblin,U+1F47A,👺,,
116,ghost,U+1F47B,👻,,
117,alien,U+1F47D,👽,,
118,alien monster,U+1F47E,👾,,
119,robot,U+1F916,🤖,,
cat-face,,,,,
№,CLDR Short Name,Code,Browser,,
120,grinning cat,U+1F63A,😺,,
121,grinning cat with smiling eyes,U+1F638,😸,,
122,cat with tears of joy,U+1F639,😹,,
123,smiling cat with heart-eyes,U+1F63B,😻,,
124,cat with wry smile,U+1F63C,😼,,
